coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt
6222.886499987919,4388.154322027746,3451.8060113126503,3040
6247.305500512926,4405.438928418787,3465.669950887388,3050
6271.87083794612,4422.8271170942835,3479.6169735535323,3060
6296.237129784706,4440.074414468632,3493.4509876592538,3070
6320.654237436753,4457.357681019248,3507.3138525513364,3080
6345.217530348528,4474.744422512336,3521.259714436089,3090
6369.633303792335,4492.026744664582,3535.1218218285994,3100
6393.991203540382,4509.268101829314,3548.9510713070385,3110
6418.609604608813,4526.693850766453,3562.9282209651446,3120
6442.966178573119,4543.934269495964,3576.7567177270394,3130
6467.328450973047,4561.178721773725,3590.5884497879,3140
6491.94484970619,4578.603053389245,3604.56446261588,3150
6516.455720117499,4595.95268843788,3618.4805615143023,3160
6540.710642940236,4613.121155001724,3632.2513456239953,3170
6565.267066600673,4630.50303420303,3646.193307476665,3180
6589.6759929466025,4647.780509744473,3660.0515274147674,3190
6614.033852035354,4665.021838129162,3673.880753808805,3200
6638.587064903276,4682.401444621362,3687.820892727183,3210
6662.992968335379,4699.676780440683,3701.67739639952,3220
6687.543957009832,4717.0548125724345,3715.616272527318,3230
6711.947756405725,4734.328659082736,3729.4715816286143,3240
6736.2942933162085,4751.561973241179,3743.294379831816,3250
6760.842742788655,4768.93820803863,3757.231814322265,3260
6785.350069201841,4786.285334523798,3771.1459011082025,3270
6809.7049128648,4803.52452848665,3784.9734154878206,3280
6834.213822009477,4820.872775283471,3798.8884008729337,3290
6858.513815980216,4838.073144752269,3812.6847742229334,3300
6883.024299139119,4855.422505690364,3826.600653257977,3310
6907.5844510406005,4872.807023868598,3840.544731827443,3320
6932.040121002332,4890.1175861450865,3854.4294905530087,3330
6956.350483149045,4907.325294564573,3868.2317504570074,3340
6980.912907582533,4924.711421318931,3882.177119261361,3350
7005.224782769202,4941.92020072001,3895.9802381970185,3360
7029.732185247665,4959.267381046791,3909.894368169179,3370
7054.247981391092,4976.620502697622,3923.813263662506,3380
7078.554262333081,4993.825322300378,3937.613206453827,3390
