,coût total employeur,salaire brut,rémunération avant impôt,rémunération après impôt,cout marginal employeur,net apres impots marginal,tx prelevement marginal,revenu net imposable,tx prelevement total
311,6442.966178573119,4543.934269495964,3576.7567177270394,3130,24.356573964305426,10.0,0.589433225926807,38628.972551452025,0.5141989088179288
312,6467.328450973047,4561.178721773725,3590.5884497879,3140,24.36227239992877,10.0,0.5895292591823562,38778.35525770932,0.5144826764554429
313,6491.94484970619,4578.603053389245,3604.56446261588,3150,24.616398733142887,10.0,0.5937667362149015,38929.29619625151,0.5147833087117859
314,6516.455720117499,4595.95268843788,3618.4805615143023,3160,24.510870411309043,10.0,0.5920177524423567,39079.59006435447,0.5150738168534625
315,6540.710642940236,4613.121155001724,3632.2513456239953,3170,24.254922822736262,10.0,0.5877125615660124,39228.31453273915,0.5153431831720666
316,6565.267066600673,4630.50303420303,3646.193307476665,3180,24.55642366043776,10.0,0.5927745775085829,39378.88772074798,0.5156328040061708
317,6589.6759929466025,4647.780509744473,3660.0515274147674,3190,24.408926345929103,10.0,0.5903138115016767,39528.55649607949,0.5159094311443411
318,6614.033852035354,4665.021838129162,3673.880753808805,3200,24.357859088751866,10.0,0.5894548874938739,39677.9121411351,0.5161802809619344
319,6638.587064903276,4682.401444621362,3687.820892727183,3210,24.553212867921502,10.0,0.5927213251563959,39828.46564145358,0.5164633726097303
320,6662.992968335379,4699.676780440683,3701.67739639952,3220,24.405903432103514,10.0,0.5902630677934255,39978.11588111482,0.5167336938066055
321,6687.543957009832,4717.0548125724345,3715.616272527318,3230,24.550988674453038,10.0,0.5926844278004301,40128.655743295036,0.5170125204763194
322,6711.947756405725,4734.328659082736,3729.4715816286143,3240,24.403799395892747,10.0,0.590227741271999,40278.293081589036,0.5172787218273831
323,6736.2942933162085,4751.561973241179,3743.294379831816,3250,24.346536910483337,10.0,0.5892639665030095,40427.579302183614,0.517538893271829
324,6760.842742788655,4768.93820803863,3757.231814322265,3260,24.54844947244692,10.0,0.5926422965644343,40578.10359468046,0.5178115918348749
325,6785.350069201841,4786.285334523798,3771.1459011082025,3270,24.507326413185183,10.0,0.5919587542352274,40728.37573196859,0.5180793965454682
326,6809.7049128648,4803.52452848665,3784.9734154878206,3280,24.354843662958956,10.0,0.5894040570168428,40877.71288726846,0.5183344885028028
327,6834.213822009477,4820.872775283471,3798.8884008729337,3290,24.50890914467709,10.0,0.5919851046421694,41027.994729427686,0.5185986148977945
328,6858.513815980216,4838.073144752269,3812.6847742229334,3300,24.299993970739706,10.0,0.5884772641490662,41176.995561607684,0.5188461978000163
329,6883.024299139119,4855.422505690364,3826.600653257977,3310,24.51048315890239,10.0,0.5920113065430158,41327.28705518615,0.5191067391097266
330,6907.5844510406005,4872.807023868598,3840.544731827443,3320,24.56015190148173,10.0,0.5928363944932811,41477.883103736385,0.519368887411886
331,6932.040121002332,4890.1175861450865,3854.4294905530087,3330,24.455669961731473,10.0,0.5910968697382603,41627.8384979725,0.5196219378605527
332,6956.350483149045,4907.325294564573,3868.2317504570074,3340,24.310362146713487,10.0,0.5886527753206714,41776.90290493568,0.5198631799690421
333,6980.912907582533,4924.711421318931,3882.177119261361,3350,24.56242443348765,10.0,0.5928740655435336,41927.5128880227,0.5201200696313952
334,7005.224782769202,4941.92020072001,3895.9802381970185,3360,24.311875186668658,10.0,0.5886783753528206,42076.5865725278,0.5203580036054497
335,7029.732185247665,4959.267381046791,3909.894368169179,3370,24.50740247846352,10.0,0.5919600207003681,42226.85917622714,0.5206076261237722
336,7054.247981391092,4976.620502697622,3923.813263662506,3380,24.515796143426996,10.0,0.5920997245410229,42377.18324755507,0.5208560843173724
337,7078.554262333081,4993.825322300378,3937.613206453827,3390,24.306280941988916,10.0,0.5885837070728054,42526.22262970133,0.5210886468669012
338,7103.071539885138,5011.179492543063,3951.5329430200595,3400,24.51727755205684,10.0,0.5921243711188044,42676.55578461664,0.5213338369312017
339,7127.589547876509,5028.534179815757,3965.453094294769,3410,24.518007991370723,10.0,0.5921365225299067,42826.89341838351,0.5215773892288836
340,7151.897851807856,5045.740431359789,3979.2541856426083,3420,24.308303931346927,10.0,0.5886179460219585,42975.945204940166,0.5218052507369785
341,7176.417309921899,5063.096145079064,3993.1751602275544,3430,24.51945811404312,10.0,0.5921606442732654,43126.29173045759,0.5220456319816038
342,7200.929536535392,5080.446740094136,4007.092029112656,3440,24.512226613493112,10.0,0.5920403251128825,43276.593914416684,0.5222838964683025
343,7225.247777736324,5097.66002557853,4020.898762366475,3450,24.31824120093188,10.0,0.5887860508753899,43425.70663355793,0.5225077248380694
344,7249.761334984937,5115.011562462794,4034.816386722501,3460,24.513557248613324,10.0,0.592062469816955,43576.016976603016,0.5227429097143943
345,7274.283600205566,5132.369263148423,4048.738955048192,3470,24.52226522062847,10.0,0.5922073303575617,43726.38071452047,0.5229770805331344
346,7298.603908729117,5149.5840119546965,4062.546862028832,3480,24.32030852355183,10.0,0.5888210056909442,43875.50610991139,0.5231964847636237
347,7323.119447245773,5166.936951248459,4076.4656112540106,3490,24.515538516655397,10.0,0.5920954380338744,44025.82860154332,0.5234271371454156
